"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"hpaCancer16.1.rda","Pathology data: Staining profiles for proteins in human tumor tissue (version 16.1).","3.16","","TSV","https://www.proteinatlas.org/download","16.1","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaCancer16.1.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaCancer.rda","Pathology data: Staining profiles for proteins in human tumor tissue.","3.16","","TSV","https://www.proteinatlas.org/download","21.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaCancer.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaNormalTissue16.1.rda","Normal tissue data: Expression profiles for proteins in human tissues based on immunohistochemisty using tissue micro arrays (version 16.1)","3.16","","TSV","https://www.proteinatlas.org/download","16.1","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaNormalTissue16.1.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaNormalTissue.rda","Normal tissue data: Expression profiles for proteins in human tissues based on immunohistochemisty using tissue micro arrays.","3.16","","TSV","https://www.proteinatlas.org/download","21.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaNormalTissue.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaSecretome.rda","Secretome data: Ensembl genes with at least one predicted secreted transcript according to HPA predictions.","3.16","","TSV","https://www.proteinatlas.org/download","21.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaSecretome.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaSubcellularLoc14.rda","Subcellular location data: Subcellular location of proteins based on immunofluorescently stained cells (version 14).","3.16","","TSV","https://www.proteinatlas.org/download","14.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaSubcellularLoc14.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaSubcellularLoc16.1.rda","Subcellular location data: Subcellular location of proteins based on immunofluorescently stained cells (version 16.1).","3.16","","TSV","https://www.proteinatlas.org/download","16.1","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaSubcellularLoc16.1.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"hpaSubcellularLoc.rda","Subcellular location of proteins based on immunofluorescently stained cells.","3.16","","TSV","https://www.proteinatlas.org/download","21.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/hpaSubcellularLoc.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"rnaConsensusTissue.rda","RNA consensus tissue gene data: Consensus transcript expression levels summarized per gene in 54 tissues based on transcriptomics data from HPA and GTEx.","3.16","","TSV","https://www.proteinatlas.org/download","21.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/rnaConsensusTissue.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
"rnaFantomTissue.rda","RNA FANTOM tissue gene data: Transcript expression levels summarized per gene in 60 tissues based on CAGE data","3.16","","TSV","https://www.proteinatlas.org/download","21.0","Homo sapiens","9606","","Human Protein Atlas","Laurent Gatto <laurent.gatto@uclouvain.be>","data.frame","Rda","hpar/data/rnaFantomTissue.rda","ExperimentHub:ExperimentData:ReproducibleResearch:RepositoryData:CancerData:Homo_sapiens_Data:Proteome:Tissue"
